area,group,name,priority,season,culture,experience,tour,risk,corpus,official
"Trà Vinh","Lễ hội/Văn hóa","Nguyên Tiêu Trà Cú - Đại An","A-","Rằm tháng Giêng âm lịch / theo lịch tổ chức địa phương","Di sản văn hóa phi vật thể, phản ánh tín ngưỡng và sinh hoạt cộng đồng của cư dân gốc Hoa/Khmer/Kinh ở vùng Trà Cú - Đại An.","Lễ hội, rước/diễn xướng, ẩm thực, tham quan không gian văn hóa địa phương.","Ghép với Ao Bà Om, chùa Khmer, bảo tàng Khmer trong mùa đầu năm.","Cần lịch truyền thông rõ; hướng dẫn du khách về nghi thức, trang phục, ứng xử.","https://baovinhlong.com.vn/phong-su-anh/202603/di-san-van-hoa-phi-vat-the-quoc-gia-le-hoi-nguyen-tieu-b955ae0/","https://vinhlong.gov.vn/du-khach/di-tich-lich-su"
"Trà Vinh","Lễ hội/Ẩm thực","Vu lan Thắng hội Cầu Kè","A-","Tháng 7 âm lịch; corpus ghi tuần lễ 13-19/9/2025","Không gian lễ hội tâm linh - hội chợ - ẩm thực - trái cây, gắn Cầu Kè và văn hóa cộng đồng.","Lễ hội, chợ trái cây, ẩm thực, OCOP, du lịch Cầu Kè/dừa sáp.","Có thể thành sản phẩm mùa thu, nối Cầu Kè - dừa sáp - Đông sông Hậu.","Cần nâng chất không gian hội chợ và câu chuyện văn hóa để không chỉ là mua bán.","https://baovinhlong.com.vn/xa-hoi/202509/khai-mac-tuan-le-vu-lan-thang-hoi-tai-xa-cau-ke-f3306db/",""
"Bến Tre","Địa điểm/Sông nước","Cồn Phụng - Cồn Đạo Dừa","A","Quanh năm; hợp tour ngày từ TP.HCM/Mỹ Tho/Vĩnh Long","Cù lao sông Tiền, thủ công mỹ nghệ dừa, trái cây, dấu tích Đạo Dừa và đời sống cồn.","Tàu sông, xuồng rạch, kẹo dừa, trái cây, đờn ca tài tử, xe ngựa/đường làng.","Điểm neo của tuyến Bến Tre, dễ ghép với Phú Túc - Lan Vương - An Hội.","Sản phẩm truyền thống dễ lặp; cần đổi mới trải nghiệm và giảm tính “tour đại trà”.","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/ra-mat-chi-hoi-du-lich-xa-phu-tuc-d5b32f7/","https://vietnamtourism.vn/index.php/tourism/items/1655"
"Bến Tre","Địa điểm/Du lịch xanh","Phú Túc - Cồn Phụng - Chi hội du lịch","A-","Quanh năm","Vùng sông nước xứ dừa, cộng đồng làm du lịch xanh, sinh thái, cồn và nghề dừa.","Du lịch xanh, vườn, sông, trải nghiệm cộng đồng, ẩm thực dừa.","Ghép Cồn Phụng, Lan Vương, An Hội, Chợ Lách.","Cần bộ tiêu chí xanh thật sự, không chỉ truyền thông.","https://baovinhlong.com.vn/xa-hoi/du-lich/202604/phu-tuc-khai-thac-loi-the-tiem-nang-du-lich-xanh-24909d2/",""
"Bến Tre","Địa điểm/Trải nghiệm nghề","Lan Vương - Xóm nghề Lan Vương","A-","Dịp lễ 30/4-1/5, hè, cuối tuần","Không gian nghề, ẩm thực, trò chơi dân gian và trải nghiệm xứ Dừa trong đô thị Bến Tre mới.","Workshop nghề, vui chơi, ẩm thực, check-in, trải nghiệm nhóm/gia đình.","Điểm dừng trong tuyến An Hội - Cồn Phụng - Phú Túc.","Cần cân bằng giải trí và giá trị nghề thật; tránh biến thành khu trò chơi đơn thuần.","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/ra-mat-xom-nghe-lan-vuong-phuc-vu-du-khach-trai-nghiem-dip-le-304-va-15-c942616/",""
"Bến Tre","Làng nghề/Nông nghiệp","Chợ Lách - Cái Mơn - hoa kiểng/cây giống","A","Cao điểm trước Tết; có thể phát triển quanh năm","Vùng cây giống, hoa kiểng và kỹ nghệ nhà vườn lâu đời; bản sắc lao động sáng tạo của xứ Dừa.","Tham quan vườn hoa, cây giống, workshop làm vườn, chụp ảnh Tết, mua cây/đặc sản.","Sản phẩm mùa Tết và tour giáo dục nông nghiệp, ghép với Cồn Phụng/An Hội.","Tính mùa vụ mạnh; cần lịch đặt trước, đường làng, bãi xe, điểm vệ sinh và bảo vệ vườn.","https://baovinhlong.com.vn/xa-hoi/202510/kien-tao-khong-gian-dac-trung-lang-van-hoa-du-lich-cho-lach-33703b3/","https://vietnamtourism.gov.vn/post/45347"
"Bến Tre","Sự kiện/Ẩm thực","An Hội - Tuần lễ Văn hóa, Du lịch, Ẩm thực xứ Dừa","A","Tết Đoan Ngọ, hè, sự kiện đô thị","Ẩm thực dừa, bánh dân gian Nam Bộ, không gian phường Bến Tre/An Hội, ký ức đô thị xứ Dừa.","Lễ hội ẩm thực, bánh dân gian, sản phẩm dừa, trình diễn nghề, chương trình văn hóa.","Làm điểm đêm/điểm sự kiện cho tuyến Bến Tre, ghép Cồn Phụng - Lan Vương.","Cần xây lịch thường niên và hệ thống gian hàng chất lượng, tránh trùng lặp hội chợ.","https://baovinhlong.com.vn/kinh-te/thuong-mai-dich-vu/202606/khai-mac-tuan-le-van-hoa-du-lich-am-thuc-banh-dan-gian-nam-bo-vi-ngon-xu-dua-phuong-an-hoi-ce310af/","https://vietnamtourism.gov.vn/post/62273"
"Bến Tre","Biển/Không gian mở","Bình Đại - Ba Tri - cánh đồng diều","B+","Hè, gió tốt, cuối tuần","Không gian ven biển, đồng quê và sinh hoạt cộng đồng; cánh đồng diều tạo hình ảnh trẻ trung cho Bến Tre.","Thả diều, ảnh/video, picnic, hoạt động gia đình, kết nối hải sản ven biển.","Sản phẩm bổ sung cho nhóm khách trẻ/gia đình, nối Bình Đại - Ba Tri - Trường Long Hòa/Ba Động.","Cần an toàn giao thông, bãi đậu xe, vệ sinh, kiểm soát rác và hoạt động thương mại tự phát.","https://baovinhlong.com.vn/van-hoa-giai-tri/202604/he-soi-dong-voi-canh-dong-dieu-o-ba-tri-242433c/",""
"Bến Tre","Di tích/Lịch sử","Khu lưu niệm Nguyễn Thị Định - Đồng Khởi Bến Tre","A-","Quanh năm; tốt cho tour học đường, nguồn cội","Ký ức Đồng Khởi, vai trò phụ nữ Nam Bộ, lịch sử cách mạng và bản lĩnh xứ Dừa.","Tham quan, học lịch sử, tour nguồn cội, kết hợp ẩm thực/vườn dừa.","Ghép với An Hội, Chợ Lách hoặc Cồn Phụng để cân bằng lịch sử - sinh thái.","Cần diễn giải sống động, tránh mô hình tham quan tĩnh.","","https://vinhlong.gov.vn/du-khach/di-tich-lich-su"
"Liên vùng","Văn hóa phi vật thể","Đờn ca tài tử, hát bội, nhạc ngũ âm, Rô-băm","A","Theo lễ hội và show trải nghiệm đặt trước","Bộ tứ diễn xướng thể hiện giao thoa Kinh - Hoa - Khmer: đờn ca tài tử sông nước, hát bội đình/lăng, nhạc ngũ âm và múa Rô-băm Khmer.","Mini show có thuyết minh, trải nghiệm nhạc cụ, gặp nghệ nhân, biểu diễn trong lễ hội/tour tối.","Nên thành sản phẩm buổi tối hoặc lớp trải nghiệm 45 phút.","Cần trả công nghệ nhân đúng mức, tránh biểu diễn cắt khúc thiếu ngữ cảnh.","https://baovinhlong.com.vn/van-hoa-giai-tri/202512/50-hoc-vien-du-tap-huan-bao-ton-phat-huy-gia-tri-nghe-thuat-mua-ro-bam-gan-voi-phat-trien-du-lich-f4b2c97/","https://vinhlong.gov.vn/du-khach/le-hoi-truyen-thong"
"Liên vùng","Ẩm thực","Ẩm thực miệt vườn - Khmer - xứ Dừa","A","Quanh năm; cao điểm Tết, lễ hội, mùa trái cây","Ba lớp khẩu vị: món vườn/sông nước Vĩnh Long, món Khmer/Trà Vinh, món dừa/Bến Tre.","Food tour, lớp nấu ăn, bản đồ ẩm thực, chợ quê, tasting menu dừa sáp/dừa/bánh dân gian.","Có thể trở thành sản phẩm chính, không chỉ bữa ăn phụ.","Cần chuẩn vệ sinh, câu chuyện món ăn, định lượng giá, bản đồ quán/nhà vườn đáng tin.","https://baovinhlong.com.vn/van-hoa-giai-tri/202602/sac-mau-ban-do-am-thuc-vinh-long-c4f07a9/",""
