asset_id,province,category,name,priority,cultural_value,target_segments,suggested_duration,season,role
"A044","Bến Tre","Làng hoa","Làng cúc mâm xôi Long Thới","A-","Hoa Tết, ảnh mùa vụ, nhà vườn","Nhiếp ảnh; gia đình","1-2 giờ","Trước Tết","seasonal_asset"
"A045","Bến Tre","Biển/đồng quê","Bình Đại","B+","Cửa biển, sinh thái ven biển, chi hội du lịch","Nội địa; gia đình","Nửa ngày","Hè; cuối tuần","emerging_asset"
"A046","Bến Tre","Biển/không gian mở","Ba Tri - cánh đồng diều","A-","Cánh đồng diều, ảnh/video, gia đình, biển/đồng quê","Gia đình; khách trẻ; nhiếp ảnh","1-2 giờ","Hè/gió tốt","visual_asset"
"A047","Bến Tre","Sinh thái","Sân chim Vàm Hồ","B+","Chim, rừng, sinh thái ven sông","Sinh thái; học sinh","Nửa ngày","Mùa chim","eco_asset"
"A048","Bến Tre","Lịch sử","Khu lưu niệm Nguyễn Thị Định","A-","Lịch sử Đồng Khởi, phụ nữ Nam Bộ","Học sinh; nguồn cội","1-2 giờ","Quanh năm","heritage_asset"
"A049","Bến Tre","Lịch sử","Đồng Khởi Bến Tre","A-","Bản sắc cách mạng, câu chuyện xứ Dừa kiên cường","Học sinh; diaspora","Nửa ngày","Quanh năm","heritage_theme"
"A050","Bến Tre","Tâm linh/di tích","Chùa Tuyên Linh","B+","Di sản cách mạng - tôn giáo, bảo tồn","Văn hóa; tâm linh","1 giờ","Quanh năm","support_asset"
"A051","Bến Tre","Ẩm thực/nghề","Kẹo dừa - nghề dừa","A","Trải nghiệm làm kẹo, thủ công dừa, mua sản phẩm","Quốc tế; gia đình; foodie","1 giờ","Quanh năm","food_craft_anchor"
"A052","Bến Tre","Biển/lễ hội","Nghinh Ông/Thạnh Phú - ven biển","B+","Tín ngưỡng ngư dân, biển Bến Tre","Tâm linh; biển; nội địa","Nửa ngày-1 ngày","Theo lịch lễ","festival_asset"
"A053","Bến Tre","Tuyến","Bến Tre - Chợ Lách - Vĩnh Long","A","Tuyến hoa kiểng - gốm đỏ - miệt vườn","Gia đình; học sinh; ảnh","1-2 ngày","Trước Tết/quanh năm","route_anchor"
"A054","Bến Tre","Tuyến","Bến Tre - Trà Vinh qua biển/cửa sông","B+","Tuyến xứ Dừa - biển miền Tây - Khmer","Nội địa; roadtrip","2 ngày","Mùa khô","route_asset"
"A055","Liên vùng","Diễn xướng","Đờn ca tài tử Nam Bộ","A","Âm nhạc sông nước, trải nghiệm tối/homestay","Quốc tế; gia đình; chậm","30-60 phút","Quanh năm","intangible_anchor"
"A056","Liên vùng","Ẩm thực","Ẩm thực ba vùng: miệt vườn - Khmer - xứ Dừa","A+","Menu liên vùng, food tour, lớp nấu ăn","Foodie; quốc tế; gia đình","Nửa ngày-3 ngày","Quanh năm","food_anchor"
"A057","Liên vùng","Tuyến","Tam giác Bến Tre - Trà Vinh - Vĩnh Long","A+","Tuyến sông-vườn-Khmer-dừa-gốm-biển","Quốc tế; nội địa; học sinh","3N2Đ","Quanh năm; tối ưu mùa khô","mega_route"
"A058","Liên vùng","Tuyến","Từ sông ra biển","A+","Cổ Chiên/An Bình -> Khmer Trà Vinh -> Ba Động/Bến Tre","Nhiếp ảnh; quốc tế; gia đình","2N1Đ-3N2Đ","Mùa khô; hè","mega_route"
"A059","Liên vùng","Lễ hội","Lịch lễ hội Nam Bộ 12 tháng","A","Ok Om Bok, Nguyên Tiêu, Vu lan, Lăng Ông, Tết Đoan Ngọ, hoa Tết","Lễ hội; truyền thông; tour mùa","Theo sự kiện","Cả năm","calendar_asset"
"A060","Liên vùng","Giáo dục","Tour học đường di sản - nghề - Khmer","A","Học lịch sử/văn hóa/nghề/sinh thái","Học sinh; sinh viên","1-3 ngày","Năm học; hè","education_product"
"A061","Liên vùng","MICE nhỏ/team building","Cồn - vườn - workshop nghề","B+","Nhóm công ty nhỏ, trải nghiệm làm nghề/ẩm thực","MICE nhỏ; team","1-2 ngày","Cuối tuần","market_product"
"A062","Liên vùng","Truyền thông số","Short video: gốm đỏ - Ao Bà Om - xứ Dừa - Ba Động","A","Bộ hình ảnh mạnh cho campaign 12 tháng","Khách trẻ; truyền thông","N/A","Cả năm","content_system"
