entity_id,ly_do_ma,thieu_gi_can_khao_sat
dang-ga---cac-mon-ga-ta,can_bo_sung,Đã bỏ 'Đánh giá 7.1/5' (vô lý). sub_category 'seafood' lệch với tên quán gà — nghi lỗi phân loại. Thiếu giờ/giá.
thanh-tra-binh-minh,can_bo_sung,"season_note 'tháng 5–8' mâu thuẫn với 'rộ sau Tết' trong summary cũ — giữ theo summary cũ, cần kiểm chứng mùa vụ. sub_category 'tea' cũng nghi sai (thanh trà là trái cây)."
khoi---lau-nuong,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá."
hot-pot-72---quan-lau,can_bo_sung,"Thiếu giờ mở cửa, khoảng giá."
khach-san-dai-an,can_bo_sung,"Dữ liệu chỉ có địa chỉ + điện thoại; cần bổ sung giá phòng, giờ nhận/trả. Tránh nhắc cấp 'TP Bến Tre' (đơn vị cũ), giữ phường Bến Tre."
anns-coffee,can_bo_sung,"Không dùng rating/review_count theo rule; cần bổ sung giờ mở cửa, giá."
hu-tieu-chay,can_bo_sung,
neyu-tea---thi-tran-giong-trom,can_bo_sung,
khach-san-hai-duong-i,can_bo_sung,"Địa chỉ gốc ghi 'phường Duyên Hải, TP Trà Vinh' — nghi lệch (Duyên Hải không thuộc TP Trà Vinh cũ); đã tránh nhắc cấp TP, cần kiểm chứng lại địa chỉ."
suonsia-homestay,can_bo_sung,"Chi tiết 'vùng Khmer' lấy từ summary cũ của entity, không bịa thêm chùa/lễ hội."
deja-vu-cafe,can_bo_sung,
monkey-tea---tra-sua-coffee,can_bo_sung,
com-ga-bong-viet,can_bo_sung,Đã bỏ dòng 'Đánh giá: 10.0/5' (thang điểm sai; rating/review_count không dùng theo rule).
khu-du-lich-sinh-thai-deja-vu-huynh-kha,can_bo_sung,Deja Vu Cafe cùng batch có địa chỉ trùng tên khu — nghi cùng khuôn viên nhưng không liên kết chéo vì tránh suy diễn ngoài dữ liệu entity.
ut-ngan-quan---dui-cuu-nuong,can_bo_sung,
cocohut-homestay,can_bo_sung,Chi tiết 'nhà vườn' lấy từ summary cũ; cần bổ sung giá và tiện nghi.
yolo-coffee,can_bo_sung,
banh-bao-tai-co,can_bo_sung,"Đã bỏ dòng 'Đánh giá: 7.4/5' (thang sai, rating không dùng theo rule)."
ngua-hoang-food-beer,can_bo_sung,
co-dai---sinh-to-giai-khat,can_bo_sung,
khach-san-binh-dai,can_bo_sung,"Attribute ocop_star=2 nghi trùng star_rating (khách sạn không phải sản phẩm OCOP) — không dùng. Thiếu giá phòng, tiện nghi, giờ nhận/trả phòng."
the-hotpot---lau-1-nguoi,can_bo_sung,"Thiếu giờ mở cửa, giá, số điện thoại. Không dùng rating/review_count theo quy tắc."
nha-hang-lang-chai,can_bo_sung,"Mô tả cũ chứa 'ẩm thực miền tây' (từ cấm, viết thường) — thay bằng 'ẩm thực Vĩnh Long' theo đúng attribute specialty."
khach-san-ngoc-quy,can_bo_sung,"Chỉ có địa chỉ + số điện thoại; thiếu giá, tiện nghi, giờ nhận/trả phòng."
khach-san-tuong-vy,can_bo_sung,"Bỏ 'TP Trà Vinh' trong bản cũ vì phường Duyên Hải không thuộc TP Trà Vinh cũ; chỉ giữ phường + vùng. Thiếu giá, tiện nghi."
deja-huynh-kha-coffee,can_bo_sung,"Thiếu số nhà, giờ, giá."
tra-sua-baam-cha,can_bo_sung,"Thiếu giờ, giá, điện thoại."
banh-xeo-long-binh-2,can_bo_sung,"Thiếu giờ bán, giá; entity type=dish nhưng dữ liệu là quán ăn cụ thể."
bun-rieu-cua-thao-my,can_bo_sung,"Thiếu giờ bán, giá."
de-nhat-lau-ca-keo---quan-an-gia-dinh,can_bo_sung,"Thiếu giờ, giá, điện thoại."
khach-san-chieu-hung,can_bo_sung,"Attribute ocop_star=1 nghi trùng star_rating — không dùng. Thiếu giá, tiện nghi."
robusta-cafe---tran-dai-nghia,can_bo_sung,"Thiếu giờ, giá, điện thoại."
bin-coffee,can_bo_sung,Attribute address ghi 'Phường 1' nhưng summary cũ ghi 'phường Long Châu' — giữ tên phường mới theo summary cũ; cần rà đối chiếu bảng mã phường.
sup-khuyet-tat,can_bo_sung,Không suy diễn nguồn gốc tên quán (liên quan người khuyết tật hay không) vì JSON không có dữ kiện.
lau-bo,can_bo_sung,"Thiếu số nhà, giờ, giá."
lau-bo-bay-map,can_bo_sung,"Thiếu giờ, giá, điện thoại."
khach-san-diamond-stars,can_bo_sung,Chỉ có địa chỉ + điện thoại; không độn thêm. Tên ghi 'Khách sạn' nhưng loại hình là nhà nghỉ — đã nói rõ.
cua-hang-ocop-tinh-ben-tre-trung-tam-xuc-tien-dau-tu-ho-tro-doanh-nghiep-ben-tre,ten_rieng,"'Tỉnh Bến Tre' nằm trong TÊN RIÊNG cửa hàng (đơn vị đặt tên trước 7-2025) — giữ nguyên, đề nghị chủ dự án soát lại tên hiển thị. sub_category='lake' có vẻ sai dữ liệu."
caffe-takeaway---tan-ke,can_bo_sung,Đã bỏ rating/review_count theo quy tắc nguồn không kiểm chứng.
lang-be---am-thuc-du-lich-sinh-thai,can_bo_sung,Không suy diễn về bè cá/vị trí ven sông vì dữ liệu không có; đã bỏ rating.
quan-chi-yen---trai-cay-dia,can_bo_sung,Đã bỏ rating/review_count.
khach-san-sanh-phuc,can_bo_sung,Chỉ có địa chỉ + điện thoại.
khach-san-hoan-my-2,can_bo_sung,
mandi-cafe,can_bo_sung,Mô tả cũ ghi 'Đánh giá: 7.3/5' (vượt thang 5) — đã bỏ toàn bộ rating theo quy tắc.
3-mien-tra-vinh---bun-dau-mam-tom,can_bo_sung,Đã bỏ dòng 'Đánh giá: 7.8/5' trong mô tả cũ.
bun-nuoc-leo-huong-tra---pham-ngu-lao,can_bo_sung,Đã bỏ rating/review_count.
khach-san-khoi-hoa,can_bo_sung,"Bỏ 'TX Bình Minh' (cấp huyện đã bãi bỏ), giữ phường Bình Minh. Trường ocop_star=2 nghi sai dữ liệu (khách sạn không phải sản phẩm OCOP)."
henry-coffee,can_bo_sung,"Dữ liệu lệch tên phường (Phường 1 cũ / Long Châu mới) — ưu tiên tên mới, đã chú thích."
pho-91,can_bo_sung,"'Lâu đời' và 'điểm ăn sáng' lấy từ summary cũ của chính entity, không bịa thêm năm."
tau-hu-nong,can_bo_sung,Đã bỏ rating/review_count.
kimchi-kimchi---mi-cay-han-quoc,can_bo_sung,"Specialty 'Mì, Ốc' + sub_category seafood_river hơi vênh nhau — chỉ viết đúng hai nhóm món có trong dữ liệu."
meo-u-kitchen---mon-nhat,can_bo_sung,Đã bỏ rating/review_count.
homestay-ut-trinh-con-tam-hiep,can_bo_sung,"Số điện thoại trong dữ liệu có 11 chữ số (09190020505), nghi sai định dạng — cần kiểm chứng trước khi hiển thị công khai."
ixigo-coffee,can_bo_sung,"Đã bỏ dòng 'Đánh giá: 7.1/5 (8 đánh giá)' trong description cũ — rating/review_count là nguồn không kiểm chứng, và 7.1/5 vượt thang điểm."
ben-dua-quan---lau-ga-noi,can_bo_sung,
nha-hang-noi-ben-tre,can_bo_sung,"Mô tả cũ ghi 'ẩm thực miền Tây' (từ cấm) — viết lại theo attributes.specialty 'Ẩm thực Vĩnh Long, nhà hàng nổi', đúng định vị §1.6."
khach-san-gia-hoa-ii,can_bo_sung,"Ý 'tiện đi chợ và trung tâm' lấy lại từ summary cũ, không bịa thêm."
nh-ks-sy-dien,can_bo_sung,
coc-cafe---pham-ngu-lao,can_bo_sung,
tra-sua-rom-149,can_bo_sung,
hu-tieu-xi-quach-a-linh---le-loi,can_bo_sung,
rang-bien-2---quan-nhau-binh-dan,can_bo_sung,
homestay-lang-be,can_bo_sung,Không suy diễn 'làng bè cá' từ tên quán vì dữ liệu không có — chỉ dùng địa chỉ và số điện thoại.
catimo-coffee,can_bo_sung,
chao-ech-tran-nam,can_bo_sung,"Đã bỏ dòng 'Đánh giá: 8.3/5 (11 đánh giá)' — rating không dùng, và 8.3/5 vượt thang điểm."
ma-van-tai-quan---pham-thai-buong,can_bo_sung,
chuoi-nuong-gia-truyen,can_bo_sung,"Tên quán 'Chuối Nướng' nhưng specialty ghi 'Nướng/BBQ' chung — mô tả bám cả hai, không suy rộng menu."
banh-flan-14,can_bo_sung,Đã gỡ dòng 'Đánh giá 7.0/5 (11 đánh giá)' khỏi description cũ vì rating/review_count là nguồn không kiểm chứng.
ninh-kieu-5---quoc-lo-60,can_bo_sung,Đã gỡ dòng 'Đánh giá 7.3/5 (14 đánh giá)' khỏi description cũ.
am-thuc-chay-ta-on---duong-so-2,can_bo_sung,
nha-khach-vinh-tra,can_bo_sung,"Bỏ 'TP Trà Vinh' của address cũ (không còn cấp huyện/TP thuộc tỉnh), chỉ giữ 'phường Trà Vinh'."
le-ngan-homestay,can_bo_sung,Address ghi 'xã Tập Ngãi' nhưng entity p-tap-ngai trong cùng nhóm nói đơn vị này đã thành phường — viết trung tính 'vùng quê Tập Ngãi' để hai bài không đá nhau; cần đối chiếu lại cấp hành chính.
1985-cafe,can_bo_sung,
pizza-house---vanh-dai,can_bo_sung,
khach-san-nghia-hiep,can_bo_sung,Attribute 'ocop_star: 1' nghi gắn nhầm — khách sạn không phải sản phẩm OCOP; không dùng trong bài.
khoi-nguyen-coffee---hung-dao-vuong,can_bo_sung,
xoi-man-69---hung-dao-vuong,can_bo_sung,Đã gỡ dòng 'Đánh giá 7.7/5 (7 đánh giá)' khỏi description cũ. Attribute sub_category 'seafood' nghi gắn nhầm cho quán xôi.
son-hao---hai-san,can_bo_sung,
lau-tai-co,can_bo_sung,
com-tam-cay-sung,can_bo_sung,
xa-thanh-hai,can_bo_sung,
lau-3-con-tep,can_bo_sung,
khach-san-an-khang,can_bo_sung,
cat-tuong---the-coffee-house,can_bo_sung,specialty nguồn ghi 'Cá' — nghi lỗi crawl với một quán cà phê nên không đưa vào bài; rating/review bỏ theo quy tắc.
gazebo-cafe,can_bo_sung,
cua-song-cung-hau-ca-heo-cau-ngang-tra-vinh,can_bo_sung,"Summary/description cũ là mảnh crawl lạc đề (ranh mặn Bạc Liêu, đề ngày 7-5-2023) — thay toàn bộ; chỉ giữ dữ kiện từ name/address/admission."
xa-tan-an,can_bo_sung,
king-beer-garden,can_bo_sung,
khach-san-hoang-khiem,can_bo_sung,
coi-xua-cafe---pham-thai-buong,can_bo_sung,
yogurt-dua---ba-muoi-thang-tu,can_bo_sung,sub_category 'seafood' lệch loại với quán yogurt/tráng miệng — nghi nhiễu dữ liệu; rating/review bỏ theo quy tắc.
xa-quoi-thien,can_bo_sung,
lu-lu---cake-drink,can_bo_sung,
kafe-home,can_bo_sung,
cau-lac-bo-don-ca-tai-tu-truong-xay-dung-mien-tay,ten_rieng,'miền Tây' nằm trong tên riêng của trường (Trường Xây dựng miền Tây) — giữ nguyên.
cau-lac-bo-don-ca-tai-tu-truong-xay-dung-mien-tay,ten_rieng,'miền Tây' thuộc tên riêng của trường — giữ nguyên.
cau-lac-bo-don-ca-tai-tu-truong-xay-dung-mien-tay,ten_rieng,'miền Tây' thuộc tên riêng của trường — giữ nguyên.
tran-quang-quon,ten_rieng,'Nhóm miền Tây' là danh xưng lịch sử của trường phái đờn ca tài tử (đối trọng 'nhóm miền Đông' của Nguyễn Quang Đại) — đổi chữ là sai sử liệu. Giữ nguyên.
tran-quang-quon,ten_rieng,"Danh xưng trường phái lịch sử, không phải filler định vị. Giữ nguyên."
tran-quang-quon,ten_rieng,Chính văn bản đã tự chứng minh: 'đối trọng với nhóm miền Đông của Nguyễn Quang Đại' — cặp danh xưng lịch sử miền Tây/miền Đông của ĐCTT. Giữ nguyên.
lang-mo-va-dinh-phan-thanh-gian,ten_rieng,"'3 tỉnh miền Tây Nam Kỳ' là danh xưng lịch sử chuẩn của sự kiện 1867 — GIỮ 'miền Tây', chỉ bổ sung 'Nam Kỳ' để văn cảnh lịch sử tường minh, đúng quy ước chỉ nhắc địa danh cũ trong ngữ cảnh lịch sử."
vinh-long-1-day-backpacker,ten_rieng,"2 chỗ 'bến Miền Tây' là TÊN RIÊNG bến xe TP.HCM — giữ nguyên. Chỉ sửa 2 chỗ generic: bỏ superlative không nguồn 'nổi tiếng nhất miền Tây' (giữ dữ kiện lò gốm cổ hàng trăm năm), và 'nắng miền Tây' → 'nắng ở đây'."
