entity_id,type,area,claim_type,claim_text,verifiable,verified,source
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours+named_fact,"{""traveler_type"": ""backpacker"", ""duration"": ""1 ngày"", ""provinces"": [""Vĩnh Long"", ""Tiền Giang""], ""best_time"": ""Thứ 3–Thứ 5, sáng sớm"", ""budget_range"": ""485.000–550.000 VNĐ/người"", ""content"": ""# Vĩnh Long 1 ngày – Cù lao + Chợ nổi\n**Đối tượng:** Backpacker |...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,"Đặt vé trước qua app, chọn chuyến 5h–5h30.\n> Chi phí: 90.000 VNĐ/chiều\n\n### 7:00 – Đến bến xe Vĩnh Long, bắt xe ôm/grab ra bến phà Đình Khao\nKhoảng 3 km từ bến xe.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,Ghé ăn sáng bún nước lèo hoặc hủ tiếu Nam Vang ngay khu bến.\n> Chi phí: Ăn sáng 30.000–40.000 VNĐ | Grab/xe ôm 15.000 VNĐ\n\n### 7:30 – Phà Đình Khao sang cù lao Bình Hòa Phước\nPhà chạy liên tục 5–10 phút/chuyến.,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,"Sang đảo thuê xe đạp hoặc đi bộ khám phá.\n> Chi phí: Phà 5.000 VNĐ | Xe đạp thuê 50.000 VNĐ/ngày\n\n### 8:00–10:00 – Vườn trái cây + đò chèo kênh rạch\nGhé vườn trái cây nhà dân (bưởi năm roi, xoài, nhãn) – mua tại vườn giá rẻ hơn ngoài chợ.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours,"Thuê đò chèo luồn kênh rạch nhỏ, ngắm dừa nước, cầu khỉ.\n> Chi phí: Vào vườn + trái cây ~50.000 VNĐ | Đò chèo 60.000–80.000 VNĐ/người (nhóm 2–4 giảm giá)\n> *Ghi chú: Mặc cả nhẹ với chủ đò, nên đi buổi sáng sớm trước khi nắng to*\n\n### 10:30 – Gốm Mang Th...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,measurement+hours+named_fact,"Chụp ảnh check-in, xem thợ làm gốm thủ công.\n> Chi phí: Miễn phí tham quan | Mua gốm lưu niệm nhỏ 20.000–50.000 VNĐ\n> *Ghi chú: Vào trong lò gốm cũ cần hỏi chủ nhà, đa số họ vui lòng cho vào*\n\n### 12:30 – Cơm trưa tại chợ Mang Thít\nCơm bình dân đặc sản...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
vinh-long-1-day-backpacker,itinerary,vinh-long,year+measurement+hours+named_fact,"Buổi chiều ít người hơn sáng nhưng vẫn có ghe bán trái cây.\n> Chi phí: Thuê xuồng 100.000–120.000 VNĐ/người (nhóm 3–5 người)\n> *Ghi chú: Không mua hàng trên xuồng nếu không hỏi giá trước*\n\n### 16:00 – Ra bến xe Vĩnh Long, về TP.HCM\nGrab/xe ôm ra bến, b...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://ongvove.com/tour/tour-du-lich-1-ngay-tai-vinh-long
ben-tre-couple-2day-001,itinerary,ben-tre,named_fact,"Nghỉ đêm tại homestay nhà vườn yên tĩnh, tận hưởng không khí miền Tây sông nước đúng nghĩa.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,named_fact,"Nghỉ đêm tại homestay nhà vườn yên tĩnh, tận hưởng không khí miền Tây sông nước đúng nghĩa.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,measurement+hours+named_fact,"{""content"": ""# Bến Tre 2 ngày – Cặp đôi lãng mạn\n\n## Di chuyển đến Bến Tre\n- **Từ TP.HCM:** Xe khách Phương Trang tại bến Miền Tây → Bến Tre (~2,5 giờ)\n- **Chi phí:** 80.000–120.000đ/người (2 chiều)\n- **Mẹo:** Đặt vé sớm cuối tuần, khởi hành 6:00–7:00 ...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,measurement+hours+named_fact,"buổi sáng ánh sáng đẹp nhất để chụp ảnh\n\n**11:00** – **Vườn dừa Bến Tre** *(khu vực Châu Thành)*\n- Dạo vườn, hái dừa uống tươi, chụp ảnh couple giữa hàng dừa thẳng tắp\n- **Chi phí:** 50.000đ/người (vào vườn có hướng dẫn)\n\n**12:30** – Trưa tại nhà hàng...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,measurement+hours,xưởng Thanh Long và Duy Loan uy tín\n\n**17:00** – Nhận phòng **Homestay nhà vườn**\n- Gợi ý: Mekong Homestay hoặc Sân Vườn Bến Tre (khu Châu Thành)\n- **Chi phí:** 500.000–800.000đ/đêm/phòng đôi\n- **Ghi chú:** Đặt trước ít nhất 3 ngày cuối tuần,Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,measurement+hours+named_fact,"chọn phòng view sông\n\n**19:00** – Tối lãng mạn tại homestay\n- Chủ nhà nấu cơm miền Tây theo yêu cầu, ngồi võng ngắm đom đóm\n- **Chi phí:** 200.000–300.000đ/bữa\n\n---\n\n## Ngày 2 – Bình minh & thiên nhiên\n\n**05:30** – **Sân chim Vàm Hồ** *(huyện Ba T...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
ben-tre-couple-2day-001,itinerary,ben-tre,measurement+season/date+hours,"mang áo khoác vì sáng sớm lạnh\n\n**08:30** – Ăn sáng gần Vàm Hồ\n- Bánh canh Bến Tre, cháo vịt đặc sản Ba Tri\n- **Chi phí:** 50.000–70.000đ/2 người\n\n**10:00** – Mua sắm & về TP.HCM\n- Ghé chợ Bến Tre mua: kẹo dừa, mắm còng, bánh phồng, trái cây\n- **Chi...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://boki.vn/blog/tan-huong-nhung-khoanh-khac-lang-man-tai-10-nha-hang-ben-tre-danh-cho-cap-doi
tra-vinh-2-ngay-van-hoa-khmer,itinerary,tra-vinh,named_fact,"Từ Chùa Âng linh thiêng, Ao Bà Om huyền thoại, Chùa Hang độc đáo, Bảo tàng Khmer phong phú đến chợ địa phương sầm uất và Biển Ba Động thơ mộng.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://saigonstartravel.com/tour-tra-vinh-can-tho-2-ngay-1-dem
tra-vinh-2-ngay-van-hoa-khmer,itinerary,tra-vinh,named_fact,"Từ Chùa Âng linh thiêng, Ao Bà Om huyền thoại, Chùa Hang độc đáo, Bảo tàng Khmer phong phú đến chợ địa phương sầm uất và Biển Ba Động thơ mộng.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://saigonstartravel.com/tour-tra-vinh-can-tho-2-ngay-1-dem
tra-vinh-2-ngay-van-hoa-khmer,itinerary,tra-vinh,named_fact,"{""content"": ""# Trà Vinh 2 Ngày – Văn Hóa Khmer\n\n## Thông tin chung\n- **Xuất phát:** TP.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://saigonstartravel.com/tour-tra-vinh-can-tho-2-ngay-1-dem
tra-vinh-2-ngay-van-hoa-khmer,itinerary,tra-vinh,measurement+season/date+hours+named_fact,"Hồ Chí Minh hoặc Vĩnh Long\n- **Phương tiện:** Xe máy hoặc xe thuê\n- **Đối tượng:** Cặp đôi, gia đình, nhóm bạn yêu văn hóa bản địa\n\n---\n\n## Ngày 1 – Khám Phá Trung Tâm Văn Hóa Khmer\n\n**9:30 – Ao Bà Om & Chùa Âng**\n- Phí vào cửa: **Miễn phí**\n- Ghi...",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://saigonstartravel.com/tour-tra-vinh-can-tho-2-ngay-1-dem
itinerary-mien-tay-nhiet-anh-001,itinerary,vinh-long,hours+named_fact,"Miền Tây Nhiếp ảnh – Chợ nổi, làng gốm, hoàng hôn Hành trình 2 ngày dành cho nhiếp ảnh gia khám phá miền Tây sông nước: bình minh tại Chợ Nổi Trà Ôn (Vĩnh Long) lúc 5h sáng, ""giờ vàng"" gốm đỏ Mang Thít rực lửa, và hoàng hôn cháy đỏ trên sông Tiền Giang.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://mia.vn/cam-nang-du-lich/tham-quan-cho-noi-mien-tay-16190
itinerary-mien-tay-nhiet-anh-001,itinerary,vinh-long,measurement,"Tổng chi phí ước tính 1.200.000–1.600.000 VNĐ/người, phù hợp nhiếp ảnh gia độc lập hoặc nhóm nhỏ.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://mia.vn/cam-nang-du-lich/tham-quan-cho-noi-mien-tay-16190
itinerary-mien-tay-nhiet-anh-001,itinerary,vinh-long,hours+named_fact,"Hành trình 2 ngày dành cho nhiếp ảnh gia khám phá miền Tây sông nước: bình minh tại Chợ Nổi Trà Ôn (Vĩnh Long) lúc 5h sáng, ""giờ vàng"" gốm đỏ Mang Thít rực lửa, và hoàng hôn cháy đỏ trên sông Tiền Giang.",Y,ENTITY_FOUND_NOT_CLAIM_VERIFIED,https://mia.vn/cam-nang-du-lich/tham-quan-cho-noi-mien-tay-16190
