entity_id,name,type,area,trust_score,verdict,claim_count,source_status,web_result,hallucination_flags,factual_errors,missing_source
backpacker-mien-tay-3ngay-500k,Backpacker tiết kiệm 3 ngày dưới 500k/ngày - Miền Tây,itinerary,,28,UNTRUSTED,3,NO_URL,MISMATCH,"source_without_url;missing_coordinates;missing_images;unverified_claims_3;mentions_outside_area:dong-thap,hcm;manual_p1_suspect",0,Y
khu-du-lich-lan-vuong,Khu du lịch Lan Vương,attraction,ben-tre,28,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_25;approximate_coordinates;missing_images;unverified_claims_2;mentions_outside_area:hcm;web_match,0,Y
so-huyet-tra-vinh,Sò huyết Trà Vinh,product,tra-vinh,28,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_20;approximate_coordinates;missing_images;unverified_claims_1;mentions_outside_area:hcm;web_match,0,Y
banh-mi-sau-hoa-ben-tre,Bánh mì Sáu Hoà,restaurant,ben-tre,30,UNTRUSTED,4,NO_URL,MISMATCH,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_4;manual_p1_suspect,0,Y
bao-tang-tong-hop-tinh-tra-vinh,Bảo tàng Tổng hợp tỉnh Trà Vinh,history,tra-vinh,30,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
bun-mam-mien-tay-vinh-long,Bún mắm miền Tây Vĩnh Long,dish,vinh-long,30,UNTRUSTED,5,NO_URL,MATCH,source_without_url;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_5;mentions_outside_area:soc-trang;web_match,0,Y
ca-chay-tra-on,Cá cháy Trà Ôn,product,vinh-long,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
ca-dieu-hong-nuoi-be-long-ho,Cá điêu hồng nuôi bè Long Hồ,product,vinh-long,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
ca-tra-thuong-pham-vinh-long,Cá tra thương phẩm Vĩnh Long,product,vinh-long,30,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
chua-ang-angkorajaborey,Chùa Âng (Angkorajaborey),history,tra-vinh,30,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
chua-lo-gach,Chùa Lò Gạch,history,tra-vinh,30,UNTRUSTED,7,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_7;web_match,0,Y
chua-phuoc-son,Chùa Phước Sơn,history,vinh-long,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
chua-samrong-ek,Chùa Samrông Ek,history,tra-vinh,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
chua-soc-tro,Chùa Sóc Tro,history,tra-vinh,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
con-chim-homestay,Cồn Chim Homestay,accommodation,tra-vinh,30,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
cong-ty-tnhh-tra-vinh-farm-sokfarm,Công ty TNHH Trà Vinh FARM (Sokfarm),craft_village,tra-vinh,30,UNTRUSTED,7,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_7;web_match,0,Y
cu-lao-my-hoa,Cù lao Mỹ Hòa,nature,vinh-long,30,UNTRUSTED,5,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_5;web_match,0,Y
hop-tac-xa-buoi-nam-roi-my-hoa,Hợp tác xã Bưởi Năm Roi Mỹ Hòa,craft_village,vinh-long,30,UNTRUSTED,8,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_8;web_match,0,Y
khu-can-cu-tinh-uy-tra-vinh,Khu căn cứ Tỉnh ủy Trà Vinh,attraction,tra-vinh,30,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
lang-mai-vang-phuoc-dinh,Làng mai vàng Phước Định,craft_village,vinh-long,30,UNTRUSTED,8,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_8;web_match,0,Y
lang-nghe-bun-suong,Làng nghề bún suông,craft_village,tra-vinh,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
lang-nghe-tac-tuong-go-long-duc,Làng nghề tạc tượng gỗ Long Đức,craft_village,tra-vinh,30,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
lang-nghe-tom-kho-vinh-kim,Làng nghề tôm khô Vinh Kim,craft_village,tra-vinh,30,UNTRUSTED,5,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_5;web_match,0,Y
malis-hotel-tra-vinh,Malis Hotel Trà Vinh,accommodation,tra-vinh,30,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
mang-cut-binh-hoa-phuoc,Măng cụt Bình Hòa Phước,product,vinh-long,30,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
mieu-ba-chua-xu-tra-vinh,Miếu Bà Chúa Xứ Trà Vinh,history,tra-vinh,30,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
muoi-quynh-homestay,Mười Quỳnh Homestay,accommodation,tra-vinh,30,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
nha-thuc-pham-sach-khoai-lang-tim-binh-tan-vinh-long,Nhà Thực Phẩm Sạch Khoai Lang Tím Bình Tân,attraction,vinh-long,30,UNTRUSTED,3,NO_URL,MATCH,source_without_url;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;mentions_outside_area:hcm;web_match,0,Y
quan-thuan-phuc-vinh-long,Quán Thuận Phúc,restaurant,vinh-long,30,UNTRUSTED,3,NO_URL,MISMATCH,source_without_url;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;manual_p1_suspect,0,Y
quyt-duong-cau-ke,Quýt đường Cầu Kè,craft_village,tra-vinh,30,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
quyt-duong-long-tri,Quýt đường Long Trị,product,tra-vinh,30,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
tep-kho-my-long,Tép khô Mỹ Long,product,tra-vinh,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_53;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
that-phu-mieu-chua-ong,Thất Phủ Miếu (Chùa Ông),history,vinh-long,30,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
vinh-sang-resort,Vinh Sang Resort,accommodation,vinh-long,30,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
vung-cam-sanh-tra-on,Vùng cam sành Trà Ôn,craft_village,vinh-long,30,UNTRUSTED,7,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_7;web_match,0,Y
xa-lach-xoong-thuan-an,Xà lách xoong Thuận An,product,vinh-long,30,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
bien-an-thuy,Biển An Thủy,nature,ben-tre,31,UNTRUSTED,2,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_25;approximate_coordinates;missing_images;unverified_claims_2,0,Y
ca-da-tron-nuoi-nuoc-ngot,Cá da trơn nuôi nước ngọt,product,ben-tre,31,UNTRUSTED,1,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_1,0,Y
chua-xvayton,Chùa Xvayton,history,tra-vinh,31,UNTRUSTED,2,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_2,0,Y
cong-ty-tnhh-che-bien-dua-luong-quoi,Công ty TNHH Chế biến dừa Lương Quới,craft_village,ben-tre,31,UNTRUSTED,7,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_7,0,Y
khu-bao-ton-thien-nhien-dat-ngap-nuoc-vam-ho,Khu bảo tồn thiên nhiên đất ngập nước Vàm Hồ,nature,ben-tre,31,UNTRUSTED,2,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_2,0,Y
khu-du-lich-lang-be,Khu du lịch Làng Bè,attraction,ben-tre,31,UNTRUSTED,2,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_2,0,Y
sa-po-che-cho-lach,Sa pô chê Chợ Lách,product,ben-tre,31,UNTRUSTED,1,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;coordinate_cluster_25;approximate_coordinates;missing_images;unverified_claims_1,0,Y
chua-giac-linh,Chùa Giác Linh,history,tra-vinh,33,UNTRUSTED,3,NO_URL,MISMATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_3;web_mismatch_false_positive_manual_review,0,Y
khu-luu-niem-nu-anh-hung-nguyen-thi-ut-ut-tich,Khu lưu niệm Nữ anh hùng Nguyễn Thị Út (Út Tịch),history,tra-vinh,33,UNTRUSTED,4,NO_URL,MISMATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_13;approximate_coordinates;missing_images;unverified_claims_4;web_mismatch_false_positive_manual_review,0,Y
bien-thua-duc,Biển Thừa Đức,nature,ben-tre,36,UNTRUSTED,6,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_6;web_match,0,Y
bo-da-xanh-ba-tri,Bò da xanh Ba Tri,product,ben-tre,36,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
ca-tra,Cá tra,product,ben-tre,36,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
chom-chom-cho-lach,Chôm chôm Chợ Lách,product,ben-tre,36,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
chu-u-ba-dong,Chù ụ Ba Động,product,tra-vinh,36,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_20;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
chua-tuyen-linh,Chùa Tuyên Linh,history,ben-tre,36,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
chuoi-ta-qua,Chuối tá quạ,product,tra-vinh,36,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_13;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
cong-ty-tnhh-ca-cao-thanh-dat,Công ty TNHH Ca cao Thành Đạt,craft_village,ben-tre,36,UNTRUSTED,4,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
dau-phong-tra-vinh,Đậu phộng Trà Vinh,product,tra-vinh,36,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
khu-di-tich-can-cu-tinh-uy-tra-vinh,Khu di tích Căn cứ Tỉnh ủy Trà Vinh,history,tra-vinh,36,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_20;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
khu-di-tich-nguyen-dinh-chieu,Khu di tích Nguyễn Đình Chiểu,history,ben-tre,36,UNTRUSTED,7,INDEPENDENT_LOW,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_7;web_match,0,N
khu-du-lich-bien-ba-dong,Khu du lịch Biển Ba Động,accommodation,tra-vinh,36,UNTRUSTED,2,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_20;approximate_coordinates;missing_images;unverified_claims_2;web_match,0,Y
lang-nghe-banh-tet-tra-cuon,Làng nghề bánh tét Trà Cuôn,craft_village,tra-vinh,36,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
lang-nghe-com-dep-ba-so,Làng nghề cốm dẹp Ba So,craft_village,tra-vinh,36,UNTRUSTED,6,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_6;web_match,0,Y
lang-nghe-dan-dat-phuoc-tuy,Làng nghề đan đát Phước Tuy,craft_village,ben-tre,36,UNTRUSTED,8,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_8;web_match,0,Y
lang-nghe-det-chieu-an-hiep,Làng nghề dệt chiếu An Hiệp,craft_village,ben-tre,36,UNTRUSTED,5,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_5;web_match,0,Y
lang-nghe-san-xuat-chi-xo-dua-an-thanh,Làng nghề sản xuất chỉ xơ dừa An Thạnh,craft_village,ben-tre,36,UNTRUSTED,5,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_5;web_match,0,Y
mia-tra-vinh,Mía Trà Vinh,product,tra-vinh,36,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_13;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
nhan-tieu-da-bo,Nhãn tiêu da bò,product,ben-tre,36,UNTRUSTED,3,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_3;web_match,0,Y
nhan-xuong-com-vang,Nhãn xuồng cơm vàng,product,ben-tre,36,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
tom-kho-vinh-kim,Tôm khô Vinh Kim,product,tra-vinh,36,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
xoai-tu-quy,Xoài tứ quý,product,ben-tre,36,UNTRUSTED,1,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_25;approximate_coordinates;missing_images;unverified_claims_1;web_match,0,Y
hai-san-ngoc-hiep-binh-dai-ben-tre,Hải Sản Ngọc Hiệp Bình Đại,restaurant,ben-tre,37,UNTRUSTED,1,NO_URL,ERROR,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_1;web_not_found_or_error,0,Y
itinerary-cai-mon-tet-ben-tre,Làng hoa Cái Mơn dịp Tết – Bến Tre,itinerary,ben-tre,37,UNTRUSTED,4,NO_URL,ERROR,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_4;web_not_found_or_error,0,Y
mi-cay-vinh-long,Mì Cay Vĩnh Long,restaurant,vinh-long,37,UNTRUSTED,3,NO_URL,ERROR,source_without_url;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;web_not_found_or_error,0,Y
quan-pho-bac-nam-hung-tra-vinh,Quán phở Bắc Năm Hùng,restaurant,tra-vinh,37,UNTRUSTED,1,NO_URL,ERROR,source_without_url;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_1;web_not_found_or_error,0,Y
tom-rang-muoi-ot,Tôm rang muối ớt,dish,vinh-long,37,UNTRUSTED,3,NO_URL,ERROR,source_without_url;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_3;web_not_found_or_error,0,Y
banh-canh-bot-xat,Bánh Canh Bột Xắt,dish,ben-tre,38,UNTRUSTED,4,NO_URL,MATCH,source_without_url;llm_fingerprint;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_4;web_match,0,Y
ca-lang-ho-nhung-giam,Cá lăng hơ nhúng giấm,dish,vinh-long,38,UNTRUSTED,5,NO_URL,MATCH,source_without_url;llm_fingerprint;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_5;web_match,0,Y
chua-khai-tuong,Chùa Khải Tường,history,ben-tre,38,UNTRUSTED,2,SELF_ONLY,MISMATCH,self_reference_only;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_2;manual_p1_suspect,0,Y
lang-banh-trang-my-long,Làng nghề bánh tráng Mỹ Lồng - nghề truyền thống,craft_village,ben-tre,38,UNTRUSTED,5,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;approximate_coordinates;missing_images;unverified_claims_5;mentions_outside_area:hcm;web_match,0,Y
tom-kho-binh-dai,Tôm khô Bình Đại,product,ben-tre,38,UNTRUSTED,3,SELF_ONLY,MISMATCH,self_reference_only;coordinate_cluster_12;approximate_coordinates;missing_images;unverified_claims_3;manual_p1_suspect,0,Y
cu-lao-may-cu-lao-luc-si-thanh,Cù Lao Mây (Cù Lao Lục Sĩ Thành),nature,vinh-long,39,UNTRUSTED,2,SELF_ONLY,AMBIGUOUS,"self_reference_only;large_coordinate_cluster_89;approximate_coordinates;missing_images;unverified_claims_2;mentions_outside_area:can-tho,hau-giang",0,Y
khoai-lang-say-gion-mien-tay,Khoai lang sấy giòn Miền Tây,product,vinh-long,39,UNTRUSTED,3,SELF_ONLY,AMBIGUOUS,self_reference_only;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_3;mentions_outside_area:hcm,0,Y
lang-nghe-banh-trang-tam-binh,Làng nghề bánh tráng Tam Bình,craft_village,vinh-long,39,UNTRUSTED,1,SELF_ONLY,ERROR,self_reference_only;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_1;web_not_found_or_error,0,Y
dac-san-mam-bo-hoc-tra-cuon,Đặc sản mắm bò hóc Trà Cuôn,craft_village,tra-vinh,40,SUSPECT,0,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;web_match,0,Y
ngheu-ben-tre,Nghêu Bến Tre,product,ben-tre,40,SUSPECT,0,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_11;approximate_coordinates;missing_images;web_match,0,Y
nuoc-mam-ruoi-long-vinh,Nước mắm rươi Long Vinh,product,tra-vinh,40,SUSPECT,6,SELF_ONLY,MATCH,self_reference_only;llm_fingerprint;large_coordinate_cluster_74;approximate_coordinates;missing_images;unverified_claims_6;web_match,0,Y
vung-buoi-da-xanh-chau-thanh,Vùng bưởi da xanh Châu Thành,craft_village,ben-tre,40,SUSPECT,0,NO_URL,MATCH,explicit_llm_source;llm_fingerprint;coordinate_cluster_12;approximate_coordinates;missing_images;web_match,0,Y
bien-thoi-thuan,Biển Thới Thuận,nature,ben-tre,41,SUSPECT,6,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;approximate_coordinates;missing_images;unverified_claims_6,0,Y
cong-ty-co-phan-xuat-nhap-khau-ben-tre-betrimex,Công ty Cổ phần Xuất nhập khẩu Bến Tre (Betrimex),craft_village,ben-tre,41,SUSPECT,6,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;approximate_coordinates;missing_images;unverified_claims_6,0,Y
lang-nghe-det-chieu-ca-hom-ben-ba,Làng nghề dệt chiếu Cà Hom - Bến Bạ,craft_village,tra-vinh,41,SUSPECT,9,NO_URL,AMBIGUOUS,explicit_llm_source;llm_fingerprint;approximate_coordinates;missing_images;unverified_claims_9,0,Y
ben-pha-tran-phu-can-tho-vinh-long-vinh-long,Bến Phà Trần Phú (Cần Thơ – Vĩnh Long),facility,vinh-long,42,SUSPECT,12,NO_URL,MATCH,source_without_url;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_12;mentions_outside_area:can-tho;web_match,0,Y
ben-tre-1-ngay-con-phuong-tphcm,Bến Tre 1 ngày – Cồn Phụng từ TP.HCM,itinerary,ben-tre,42,SUSPECT,5,NO_URL,MATCH,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_5;mentions_outside_area:hcm;web_match,0,Y
ben-tre-couple-2day-001,Bến Tre 2 ngày – Cặp đôi lãng mạn,itinerary,ben-tre,42,SUSPECT,7,NO_URL,MATCH,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_7;mentions_outside_area:hcm;web_match,0,Y
ben-tre-vam-ho-birdwatching-t9-t3,Bến Tre – Ngắm chim Vàm Hồ tháng 9–3,itinerary,ben-tre,42,SUSPECT,8,NO_URL,MATCH,source_without_url;large_coordinate_cluster_80;approximate_coordinates;missing_images;unverified_claims_8;mentions_outside_area:hcm;web_match,0,Y
ben-xe-tra-on-tich-thien-vinh-long,Bến Xe Trà Ôn / Tích Thiện,facility,vinh-long,42,SUSPECT,7,NO_URL,MATCH,"source_without_url;large_coordinate_cluster_255;approximate_coordinates;missing_images;unverified_claims_7;mentions_outside_area:can-tho,soc-trang;web_match",0,Y
