entity_id,type,area,url,domain,tier,status,explicit_llm
lang-hoa-kieng-long-duc-tra-vinh,craft_village,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
canh-dong-dien-gio-thanh-phu,nature,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
khu-bao-ton-thien-nhien-thanh-phu,nature,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lang-nghe-dong-ghe-xuong-an-dinh,craft_village,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
mam-cong-ben-tre,product,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
buoi-da-xanh-ben-tre,product,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
banh-canh-bot-xat-ben-tre,dish,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lau-mam-ben-tre,restaurant,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
chao-cua-dong-ben-tre,dish,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
cu-lao-may-tra-on,nature,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
cho-noi-tra-on-dc,attraction,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lang-banh-trang-tra-on,craft_village,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lang-banh-trang-giay-tuong-loc,craft_village,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
lang-det-chieu-cu-lao-dai,craft_village,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
khu-sinh-thai-nha-xua-long-ho,experience,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
khu-du-lich-sinh-thai-hoang-hao,experience,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
tranh-dua-hop-kieng-cocohand,product,ben-tre,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
lang-ong-lang-ong-che-nguyen-van-ton,history,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
buoi-nam-roi-my-hoa,product,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
diem-trung-bay-va-gioi-thieu-san-pham-ocop-vinh-long,product,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
nem-chua-sau-xe,product,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
cha-lua-thanh-cong,product,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
bun-tuoi-va-hu-tieu-sau-thanh,product,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
cho-ba-tri,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cho-cho-lach,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cho-giong-trom,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cho-mo-cay,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cho-ba-vat,attraction,ben-tre,https://vinhlong.gov.vn/du-khach/%C4%91ia-%C4%91iem-mua-sam,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cay-goi-nuoc-di-san-ben-tre,nature,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
cong-vien-my-hoa,attraction,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
cua-binh-dai,product,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
sau-rieng-cai-mon,product,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
cheo-xuong-rach-an-binh,experience,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
lang-gach-gom-mang-thit,craft_village,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
bao-tang-vinh-long,attraction,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
du-lich-sinh-thai-sala,attraction,vinh-long,https://vinhlongtourist.vn/vi/dn-du-lich-sinh-thai-sala,vinhlongtourist.vn,OTHER,INDEPENDENT,N
khu-du-lich-s-mo-farm-cuu-long,attraction,vinh-long,https://vinhlongtourist.vn/vi/khu-du-lich-somo-farm-cuu-long,vinhlongtourist.vn,OTHER,INDEPENDENT,N
khu-mo-than-nhan-danh-than-thoai-ngoc-hau,attraction,vinh-long,https://vinhlongtourist.vn/vi/khu-mo-than-nhan-danh-than-thoai-ngoc-hau,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-gom-tu-buoi,craft_village,vinh-long,https://vinhlongtourist.vn/vi/nha-gom-tu-buoi,vinhlongtourist.vn,OTHER,INDEPENDENT,N
chua-khmer-vinh-long,attraction,vinh-long,https://vinhlongtourist.vn/vi/chua-khmer-vinh-long,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nha-co-tran-dai-nghia,attraction,vinh-long,https://dulichbinhminh.com/nha-co-tran-dai-nghia-vinh-long,dulichbinhminh.com,OTHER,INDEPENDENT,N
tran-dai-nghia,person,vinh-long,https://dulichbinhminh.com/nha-co-tran-dai-nghia-vinh-long,dulichbinhminh.com,OTHER,INDEPENDENT,N
pham-hung,person,vinh-long,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
vo-van-kiet,person,vinh-long,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
khu-luu-niem-thu-tuong-chinh-phu-vo-van-kiet,attraction,vinh-long,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
nguyen-dinh-chieu,person,ben-tre,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
nguyen-thi-dinh,person,ben-tre,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
khu-luu-niem-nu-tuong-nguyen-thi-dinh,attraction,ben-tre,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
nguyen-thien-thanh,person,tra-vinh,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
nguyen-thi-ut,person,tra-vinh,https://www.langthangvinhlong.vn/danh-nhân-lịch-sử,langthangvinhlong.vn,TIER3,INDEPENDENT,N
thach-sok-xane,person,tra-vinh,https://dantoc.vietnamtourism.gov.vn/bao-ton-phat-huy-ban-sac-van-hoa-dan-toc-khmer-tra-vinh/,dantoc.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
thach-oai,person,tra-vinh,https://dantoc.vietnamtourism.gov.vn/bao-ton-phat-huy-ban-sac-van-hoa-dan-toc-khmer-tra-vinh/,dantoc.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
long-ho,nature,vinh-long,https://baovinhlong.com.vn/van-hoa-giai-tri/202312/doi-dieu-suy-nghi-ve-nghe-thuat-don-ca-tai-tu-o-vinh-long-3178360/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
tong-huu-dinh,person,vinh-long,https://baovinhlong.com.vn/van-hoa-giai-tri/202312/doi-dieu-suy-nghi-ve-nghe-thuat-don-ca-tai-tu-o-vinh-long-3178360/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
tran-quang-quon,person,vinh-long,https://baovinhlong.com.vn/van-hoa-giai-tri/202312/doi-dieu-suy-nghi-ve-nghe-thuat-don-ca-tai-tu-o-vinh-long-3178360/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
truong-duy-toan,person,vinh-long,https://baovinhlong.com.vn/van-hoa-giai-tri/202312/doi-dieu-suy-nghi-ve-nghe-thuat-don-ca-tai-tu-o-vinh-long-3178360/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
song-long-binh,nature,tra-vinh,https://blog.mytour.vn/bai-viet/tra-vinh-dien-ra-le-hoi-ok-om-bok.html,blog.mytour.vn,TIER3,INDEPENDENT,N
lang-nghe-gom-do-mang-thit,craft_village,vinh-long,https://dulichbinhminh.com/lang-nghe-gom-mang-thit-vinh-long,dulichbinhminh.com,OTHER,INDEPENDENT,N
quan-lau-ga-noi-nha-san,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
quan-lau-tai-co,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
quan-met-bun-dau-mam-tom,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
com-tam-co-tuyet,restaurant,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
bun-mam-co-ba,dish,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
quan-tan-tan,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
buffet-nuong-kachu,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
quan-pho-91,experience,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
pho-an-vat-bo-ke,attraction,vinh-long,https://viettopreview.vn/quan-an-ngon-vinh-long.html,viettopreview.vn,TIER3,INDEPENDENT,N
nha-co-cai-cuong,attraction,vinh-long,https://nucuoimekong.com/cu-lao-an-binh,nucuoimekong.com,TIER3,INDEPENDENT,N
canh-dong-dieu-tra-vinh,nature,tra-vinh,https://blog.vexere.com/dia-diem-du-lich-tra-vinh/,blog.vexere.com,TIER3,INDEPENDENT,N
lang-gach-gom-do-mang-thit,craft_village,vinh-long,https://baovinhlong.com.vn/tin-moi/202504/tim-huong-sac-rienggiua-mien-song-nuoc-ef43078/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
lang-nghe-lam-tau-hu-ky,craft_village,vinh-long,https://baovinhlong.com.vn/tin-moi/202504/tim-huong-sac-rienggiua-mien-song-nuoc-ef43078/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
cu-lao-may,nature,vinh-long,https://nongthon.vietnamtourism.gov.vn/vinh-long-tra-on-diem-sang-phat-trien-du-lich-sinh-thai-miet-vuon/,nongthon.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
diem-du-lich-sinh-thai-tu-do,attraction,vinh-long,https://nongthon.vietnamtourism.gov.vn/vinh-long-tra-on-diem-sang-phat-trien-du-lich-sinh-thai-miet-vuon/,nongthon.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
diem-du-lich-sinh-thai-tam-trong,attraction,vinh-long,https://nongthon.vietnamtourism.gov.vn/vinh-long-tra-on-diem-sang-phat-trien-du-lich-sinh-thai-miet-vuon/,nongthon.vietnamtourism.gov.vn,TIER1,INDEPENDENT,N
khu-du-lich-sinh-thai-miet-vuon-vinh-sang,attraction,vinh-long,https://dulich360.com.vn/khu-du-lich-sinh-thai-miet-vuon-vinh-sang-vinh-long.html,dulich360.com.vn,OTHER,INDEPENDENT,N
khu-du-lich-sinh-thai-huynh-kha,nature,tra-vinh,https://blog.vexere.com/dia-diem-du-lich-tra-vinh/,blog.vexere.com,TIER3,INDEPENDENT,N
cu-lao-long-tri,nature,tra-vinh,https://blog.vexere.com/dia-diem-du-lich-tra-vinh/,blog.vexere.com,TIER3,INDEPENDENT,N
con-chim,nature,tra-vinh,https://blog.vexere.com/dia-diem-du-lich-tra-vinh/,blog.vexere.com,TIER3,INDEPENDENT,N
canh-dong-dien-gio-ngoai-khoi-ba-dong,attraction,tra-vinh,https://www.traveloka.com/vi-vn/explore/destination/bien-ba-dong/301507,traveloka.com,TIER3,INDEPENDENT,N
cau-lang-chim,attraction,tra-vinh,https://www.traveloka.com/vi-vn/explore/destination/bien-ba-dong/301507,traveloka.com,TIER3,INDEPENDENT,N
cau-truong-long-hoa,attraction,tra-vinh,https://www.traveloka.com/vi-vn/explore/destination/bien-ba-dong/301507,traveloka.com,TIER3,INDEPENDENT,N
ngay-hoi-thanh-tra,event,vinh-long,https://baovinhlong.com.vn/tin-moi/202504/tim-huong-sac-rienggiua-mien-song-nuoc-ef43078/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
tuan-le-van-hoa-du-lich-gan-voi-le-hoi-ok-om-bok,event,tra-vinh,https://nhandan.vn/dac-sac-dem-hoi-ok-om-bok-cua-dong-bao-khmer-tai-tra-vinh-post845154.html,nhandan.vn,TIER2,INDEPENDENT,N
mua-trai-cay-chin-roi,experience,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
mua-nuoc-noi-dbscl,experience,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
tet-nguyen-dan-mien-tay,event,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
le-vu-lan,event,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
le-gio-to-hung-vuong,event,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
dua-xiem-xanh,product,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
dua-sap,product,tra-vinh,https://mia.vn/cam-nang-du-lich/top-dac-san-mien-tay-13979,mia.vn,TIER3,INDEPENDENT,N
le-hoi-ok-om-bok,event,tra-vinh,https://nhandan.vn/dac-sac-dem-hoi-ok-om-bok-cua-dong-bao-khmer-tai-tra-vinh-post845154.html,nhandan.vn,TIER2,INDEPENDENT,N
nha-co-huynh-thuy-le,attraction,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
khu-van-hoa-du-lich-ao-ba-om,attraction,tra-vinh,https://nhandan.vn/dac-sac-dem-hoi-ok-om-bok-cua-dong-bao-khmer-tai-tra-vinh-post845154.html,nhandan.vn,TIER2,INDEPENDENT,N
con-phung-con-ong-dao-dua,attraction,ben-tre,https://baovinhlong.com.vn/xa-hoi/du-lich/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
chua-shanghamangala-khmer-vung-liem,attraction,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
rung-duoc-long-khanh,nature,tra-vinh,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
le-hoi-van-thanh-mieu,event,vinh-long,https://baovinhlong.com.vn/tin-moi/202504/tim-huong-sac-rienggiua-mien-song-nuoc-ef43078/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
trai-quach-tra-vinh,product,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
tom-cang-xanh-lot-an-thanh,product,ben-tre,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
ao-ba-om,attraction,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
dinh-tan-hoa,attraction,vinh-long,https://vinhlongtourist.vn/vi/dinh-tan-hoa,vinhlongtourist.vn,OTHER,INDEPENDENT,N
dinh-tan-hoa,attraction,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
cu-lao-minh,nature,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
dua-sap-cau-ke,product,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
mam-song-khoai-lang,dish,vinh-long,http://www.shopyte.com.vn/2016/03/bun-suong-ac-san-tra-vinh-thom-ngon.html,shopyte.com.vn,OTHER,INDEPENDENT,N
pho-91,dish,vinh-long,https://mia.vn/cam-nang-du-lich/top-10-quan-ngon-vinh-long-danh-cho-cac-tin-do-am-thuc-phan-2-9856,mia.vn,TIER3,INDEPENDENT,N
banh-trang-my-long,dish,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
oc-gao-cu-lao-dai,dish,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
mam-tom-cha-vinh-long,dish,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
ca-loc-nuong-trui,dish,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
canh-chua-ca-linh,dish,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
nuoc-dua-tuoi-ben-tre,dish,ben-tre,,,NO_URL,NO_INDEPENDENT_SOURCE,N
nghe-don-ca-tai-tu,experience,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
tham-chua-khmer,experience,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,N
peace-farm,experience,vinh-long,https://vinhlongtourist.vn/vi/co-so-san-xuat-va-kinh-doanh-peace-farm,vinhlongtourist.vn,OTHER,INDEPENDENT,N
du-lich-vuon-chu-7-gat,experience,vinh-long,https://vinhlongtourist.vn/vi/du-lich-vuon-chu-7-gat,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nhom-bong-hong-vang,experience,vinh-long,https://vinhlong.gov.vn/du-khach/đon-ca-tai-tu,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cau-lac-bo-du-lich-cuu-long,experience,vinh-long,https://vinhlong.gov.vn/du-khach/đon-ca-tai-tu,vinhlong.gov.vn,TIER1,INDEPENDENT,N
cau-lac-bo-trung-tam-van-hoa-thong-tin-vinh-long,experience,vinh-long,https://vinhlong.gov.vn/du-khach/đon-ca-tai-tu,vinhlong.gov.vn,TIER1,INDEPENDENT,N
quan-buffet-lau-nuong-kachu,experience,vinh-long,https://mia.vn/cam-nang-du-lich/top-10-quan-ngon-vinh-long-danh-cho-cac-tin-do-am-thuc-phan-2-9856,mia.vn,TIER3,INDEPENDENT,N
com-nieu-nam-bo,experience,vinh-long,https://pasgo.vn/kham-pha/quan-an-ngon-vinh-long-1868,pasgo.vn,OTHER,INDEPENDENT,N
nha-vuon-tu-hien,experience,vinh-long,https://vinhlongtourist.vn/vi/detailnews/?id=news_12094&t=kham-pha-cu-lao-an-binh-diem-du-lich-song-nuoc-dam-chat-tay-nam-bo-tai-vinh-long,vinhlongtourist.vn,OTHER,INDEPENDENT,N
nghe-thuat-hat-boi-tinh-vinh-long,experience,vinh-long,https://baovinhlong.com.vn/tin-moi/202504/tim-huong-sac-rienggiua-mien-song-nuoc-ef43078/,baovinhlong.com.vn,TIER2,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-huyen-vung-liem,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-huyen-long-ho,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-huyen-tam-binh,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-huyen-tra-on,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-huyen-mang-thit,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-thi-xa-binh-minh,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
cau-lac-bo-don-ca-tai-tu-tinh-vinh-long,experience,vinh-long,https://vinhlongtourist.vn/vi/detailevents/?t=doi-net-ve-don-ca-tai-tu-vinh-long&id=event_10380,vinhlongtourist.vn,OTHER,INDEPENDENT,N
mua-chan,experience,tra-vinh,https://nhandan.vn/dac-sac-dem-hoi-ok-om-bok-cua-dong-bao-khmer-tai-tra-vinh-post845154.html,nhandan.vn,TIER2,INDEPENDENT,N
lo-com-cuu-long,dish,vinh-long,https://vinhlongtourist.vn/vi/lo-com-cuu-long,vinhlongtourist.vn,OTHER,INDEPENDENT,N
chua-co-nodol,history,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
chua-samrong-ek,history,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
vinmart-vinmart-vinh-long-vinh-long,facility,vinh-long,,,NO_URL,NO_INDEPENDENT_SOURCE,N
nha-co-huynh-phu-thanh-phu,history,ben-tre,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
chua-botum-rangsay,history,tra-vinh,,,NO_URL,NO_INDEPENDENT_SOURCE,Y
bao-tang-van-hoa-dan-toc-khmer-tra-vinh,history,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
den-tho-bac-ho-tra-vinh,history,tra-vinh,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
chua-ky-son-khmer-loan-my,history,vinh-long,https://mytour.vn/,mytour.vn,TIER3,INDEPENDENT,N
khu-di-tich-luu-niem-chu-tich-pham-hung,history,vinh-long,https://vinhlong360.vn/,vinhlong360.vn,SELF,SELF,N
